"name","basis","date","institutionID","collectionCode","collectionID","country","county","state","locality","Latitude","Longitude","ID","coordinateUncertaintyInMeters","informationWithheld","habitat","prov","spocc.latitude","spocc.longitude","spocc.prov","spocc.date","spocc.name"
"Pyxidanthera brevifolia","specimen","2013-04-24","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571279449",NA,NA,NA,"bison",35.113792,-79.33446,"bison",2013-04-24,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","2013-04-24","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571211544",NA,NA,NA,"bison",35.113792,-79.334458,"gbif",2013-04-24,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","2013-04-24","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571211544",NA,NA,NA,"bison",35.113792,-79.33446,"bison",2013-04-24,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","2013-04-25","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571253536",NA,NA,NA,"bison",35.113792,-79.334458,"gbif",2013-04-25,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","2013-04-25","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571253536",NA,NA,NA,"bison",35.113792,-79.33446,"bison",2013-04-25,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","2013-04-24","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571260323",NA,NA,NA,"bison",35.113792,-79.334458,"gbif",2013-04-24,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","2013-04-24","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571260323",NA,NA,NA,"bison",35.113792,-79.33446,"bison",2013-04-24,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","2013-04-25","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571205729",NA,NA,NA,"bison",35.113792,-79.334458,"gbif",2013-04-25,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","2013-04-25","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571205729",NA,NA,NA,"bison",35.113792,-79.33446,"bison",2013-04-25,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","1928-03-14","http://www.nmnh.si.edu/","National Museum of Natural History, Smithsonian Institution","http://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a","US",NA,"North Carolina","Spout Springs, Harnett Co.",NA,NA,"2235754035",NA,NA,NA,"bison",NA,NA,"gbif",1928-03-14,"Pyxidanthera brevifolia Wells"
